LINK_ID,F_NODE,T_NODE,ROAD_USE,LANES,ROAD_RANK,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,ROAD_TYPE,ROAD_NO,TMPID,UPLOAD_ID,SOSFNODEID,SOSTNODEID,SHAPE_STLe
"1520005300","1520002100","1520003000","0",5.00000000,"104",와룡로,"0","000",70.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","152","000","31",,nodelinkmanager2017010410,,,707.26694960300
"1520008600","1520004000","1520002900","0",2.00000000,"104",당산로,"0","000",50.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","152","000","37",,nodelinkmanager2017010410,,,436.24127604000
"1520008500","1520002900","1520004000","0",2.00000000,"104",당산로,"0","000",50.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","152","000","37",,nodelinkmanager2017010410,,,436.24145931100
"1520011600","1520004000","1520003900","0",3.00000000,"104",국채보상로,"0","000",70.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","152","000","50",,nodelinkmanager2017010410,,,805.93418147700
"1520011500","1520003900","1520004000","0",3.00000000,"104",국채보상로,"0","000",70.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","152","000","50",,nodelinkmanager2017010410,,,805.93538465800
"1560075500","1560022600","1520002500","0",3.00000000,"104","-","0","000",50.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","152","000","-",,nodelinkmanager2017010410,,,415.98985749700
"1560075600","1520002500","1560022600","0",1.00000000,"104","-","0","000",30.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","152","000","-",,nodelinkmanager2017010410,,,431.47207194000
"1560076000","1520002500","1560022700","0",1.00000000,"104",용산큰못길,"0","000",40.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","152","000","-",,nodelinkmanager2017010410,,,307.34288454800
"1520011300","1520003800","1520004800","0",1.00000000,"104",배틀4길,"0","000",40.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","152","000","-",,nodelinkmanager2017010410,,,915.81614544400
"1520011800","1520004700","1520003900","0",4.00000000,"104",와룡로,"0","000",70.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","152","000","31",,nodelinkmanager2017010410,,,638.07264874200
"1520011700","1520003900","1520004700","0",4.00000000,"104",와룡로,"0","000",70.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","152","000","31",,nodelinkmanager2017010410,,,638.07263202000
"1520007600","1520004100","1520002700","0",2.00000000,"104",중리길,"0","000",30.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","152","000","-",,nodelinkmanager2017010410,,,755.58416013500
"1520007500","1520002700","1520004100","0",2.00000000,"104",중리길,"0","000",30.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","152","000","-",,nodelinkmanager2017010410,,,755.58420739000
"1520012200","1520004600","1520004000","0",2.00000000,"104",당산로,"0","000",50.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","152","000","37",,nodelinkmanager2017010410,,,564.78166353500
"1520012100","1520004000","1520004600","0",2.00000000,"104",당산로,"0","000",50.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","152","000","37",,nodelinkmanager2017010410,,,564.78164385600
"1520014400","1520005400","1520004600","0",2.00000000,"104",당산로,"0","000",50.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","152","000","37",,nodelinkmanager2017010410,,,529.84821802500
"1520014300","1520004600","1520005400","0",2.00000000,"104",당산로,"0","000",50.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","152","000","37",,nodelinkmanager2017010410,,,529.84839180300
"1520014000","1520004700","1520004600","0",2.00000000,"104",문화거리,"0","000",50.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","152","000","-",,nodelinkmanager2017010410,,,715.67319180200
"1520013900","1520004600","1520004700","0",2.00000000,"104",문화거리,"0","000",50.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","152","000","-",,nodelinkmanager2017010410,,,715.67208942500
"1520014500","1520004700","1520004800","0",1.00000000,"104",문화거리,"0","000",50.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","152","000","-",,nodelinkmanager2017010410,,,577.55152438700
"1520014600","1520004800","1520004700","0",1.00000000,"104",문화거리,"0","000",50.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","152","000","-",,nodelinkmanager2017010410,,,577.55242583100
"1520018400","1520006100","1520001600","0",2.00000000,"104",달서천로,"0","000",60.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","152","000","56",,nodelinkmanager2017010410,,,964.49356747100
"1540047200","1540017100","1540016500","0",1.00000000,"104",대동로,"0","000",40.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","154","000","-",,nodelinkmanager2017010410,,,610.20626762300
"1540047100","1540016500","1540017100","0",1.00000000,"104",대동로,"0","000",40.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","154","000","-",,nodelinkmanager2017010410,,,608.77019334800
"1540055800","1540020200","1540019100","0",3.00000000,"104",검단로,"0","000",50.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","154","000","65",,nodelinkmanager2017010410,,,344.39056919600
"1540055700","1540019100","1540020200","0",3.00000000,"104",검단로,"0","000",60.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","154","000","65",,nodelinkmanager2017010410,,,340.78029253400
"1540060900","1540020800","1540021200","0",2.00000000,"104",산업용재로,"0","000",50.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","154","000","-",,nodelinkmanager2017010410,,,213.75987433100
"1530017400","1530005400","1530005300","0",1.00000000,"104",봉덕로,"0","000",50.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","153","000","34",,nodelinkmanager2017010410,,,391.77373205100
"1530014800","1530004700","1530004600","0",1.00000000,"104",봉삼중앙길,"0","000",50.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","153","000","-",,nodelinkmanager2017010410,,,430.56461471200
"1530012500","1530003900","1530004700","0",1.00000000,"104",관제탑길,"0","000",40.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","153","000","-",,nodelinkmanager2017010410,,,563.94761340900
"1530012600","1530004700","1530003900","0",1.00000000,"104",관제탑길,"0","000",40.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","153","000","-",,nodelinkmanager2017010410,,,580.85994308500
"1530017500","1530005300","1530006200","0",1.00000000,"104",봉명길,"0","000",40.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","153","000","-",,nodelinkmanager2017010410,,,358.44474985300
"1530017600","1530006200","1530005300","0",2.00000000,"104",봉명길,"0","000",40.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","153","000","-",,nodelinkmanager2017010410,,,358.44461957400
"1510018500","1510007700","1510006800","0",2.00000000,"104",약사길,"0","000",40.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","151","000","-",,nodelinkmanager2017010410,,,380.16340717900
"1510018400","1510006800","1510007700","0",2.00000000,"104",약사길,"0","000",40.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","151","000","-",,nodelinkmanager2017010410,,,380.16337968000
"1510019700","1510007600","1510007200","0",2.00000000,"104",한골로,"0","000",40.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","151","000","-",,nodelinkmanager2017010410,,,325.55714776500
"1510019600","1510007200","1510007600","0",2.00000000,"104",한골로,"0","000",40.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","151","000","-",,nodelinkmanager2017010410,,,325.55709219400
"1510024700","1510010500","1510008700","0",2.00000000,"104",약사길,"0","000",40.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","151","000","-",,nodelinkmanager2017010410,,,386.50535159000
"1510024600","1510008700","1510010500","0",2.00000000,"104",약사길,"0","000",40.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","151","000","-",,nodelinkmanager2017010410,,,386.50544042300
"1550016100","1550006400","1550006600","0",1.00000000,"104",무학2길,"0","000",40.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","155","000","-",,nodelinkmanager2017010410,,,625.31741797500
"1550016200","1550006600","1550006400","0",1.00000000,"104",무학2길,"0","000",40.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","155","000","-",,nodelinkmanager2017010410,,,623.84932892300
"1550012500","1550005400","1550006400","0",2.00000000,"104",햇빛길,"0","000",60.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","155","000","-",,nodelinkmanager2017010410,,,591.97407092200
"1550012600","1550006400","1550005400","0",2.00000000,"104",햇빛길,"0","000",60.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","155","000","-",,nodelinkmanager2017010410,,,584.79095211400
"1550012000","1550005500","1550005300","0",1.00000000,"104",시장길,"0","000",40.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","155","000","-",,nodelinkmanager2017010410,,,295.91207488100
